Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,0,0,0,0,5
Chart,20,0,0,0,0,0,0,0
Chart,8,0,0,0,0,0,0,0
Chart,9,0,0,0,0,0,0,0
Chart,12,1,1,1,1,1,1,0
Chart,24,0,0,0,0,0,0,0
Chart,11,0,0,0,0,0,0,0
Chart,13,0,0,0,0,0,0,0
Math,82,0,0,0,0,0,0,0
Math,5,0,0,0,0,0,0,0
Math,63,0,0,0,0,0,0,0
Math,105,0,0,0,0,0,0,1
Math,41,0,0,0,0,0,0,0
Math,27,1,1,1,1,1,1,0
Math,32,0,0,0,0,0,0,1
Math,75,0,0,0,0,0,0,0
Math,2,0,0,0,0,0,0,0
Math,34,0,0,0,0,0,0,0
Math,70,1,1,1,1,1,1,0
Math,80,0,0,0,0,0,0,0
Math,85,0,0,0,0,0,0,0
Math,30,0,0,0,0,0,0,0
Math,57,0,1,1,2,2,1,1
Math,33,0,0,0,0,0,0,0
Math,58,0,0,0,0,0,0,0
Math,94,0,0,0,0,0,0,0
Closure,102,0,0,0,0,0,0,0
Closure,62,0,0,0,0,0,0,0
Closure,92,0,0,0,0,0,0,0
Closure,125,0,0,0,0,0,0,0
Closure,10,0,0,0,0,0,0,0
Closure,73,0,0,0,0,0,0,0
Closure,70,0,0,0,0,0,0,0
Closure,18,0,0,0,0,0,0,0
Closure,86,0,0,0,0,0,0,0
Lang,6,0,0,0,0,0,0,0
Lang,59,0,0,0,0,0,0,0
Lang,57,0,0,0,0,0,0,0
Mockito,38,1,1,1,1,1,1,3
Time,4,0,0,0,0,0,0,0
